Date,True volume,area/,R squared,,,
2016-02-15,4426.790,175.432,0.88,,,
2016-03-02,4283.750,173.790,,,,
2016-03-18,4157.300,169.547,,,,
2016-04-03,4010.810,166.525,,,,
2016-04-19,3857.280,144.952,,,,
2016-05-05,3713.140,153.661,,,,
2016-11-29,7739.130,227.612,,,,
2017-01-16,6994.770,227.680,,,,
2017-02-01,6671.850,220.813,,,,
2017-02-17,6264.660,216.740,,,,
2017-03-05,5859.820,204.234,,,,
2017-04-06,5218.800,183.193,,,,
2017-04-22,5012.940,162.857,,,,
2017-09-13,7093.500,218.208,,,,
2017-10-31,8388.820,218.294,,,,
2017-12-02,8518.250,240.173,,,,
2017-12-18,8257.900,239.595,,,,
2018-01-19,7541.090,234.068,,,,
2018-02-20,6768.410,199.964,,,,
2018-03-08,6429.060,210.077,,,,
2018-03-24,6087.710,184.022,,,,
2018-04-09,5800.480,197.450,,,,
2018-04-25,5544.300,174.011,,,,
2018-09-16,7833.150,224.696,,,,
2018-10-18,8332.940,221.126,,,,
2018-11-03,8335.370,234.802,,,,
2018-11-19,8195.210,237.552,,,,
2018-12-05,7949.040,236.086,,,,
2018-12-21,7606.060,233.569,,,,
2019-02-07,6465.630,217.305,,,,
2019-02-23,6121.220,212.894,,,,
2019-03-11,5771.940,207.742,,,,
2019-04-12,5184.160,184.657,,,,
2019-04-28,4883.930,172.395,,,,
2019-10-21,5323.500,192.571,,,,
2019-11-22,5140.090,191.531,,,,
2019-12-08,5016.710,195.294,,,,
2019-12-24,4893.210,186.365,,,,
2020-01-09,4740.540,182.010,,,,
2020-01-25,4594.420,179.376,,,,
2020-02-10,4452.990,177.282,,,,
2020-02-26,4040.120,142.907,,,,
2020-03-13,4172.330,171.181,,,,
2020-03-29,4010.810,167.184,,,,
2020-05-16,3561.900,152.571,,,,
2020-09-05,4992.240,167.935,,,,
2020-11-24,5727.250,191.769,,,,
2020-12-10,5560.260,202.410,,,,
2021-01-11,5166.890,196.069,,,,
2021-01-27,4926.710,173.801,,,,
2021-02-28,4512.740,175.910,,,,
2021-03-16,4278.640,159.546,,,,
2021-04-01,4028.700,126.367,,,,
2021-05-03,3754.520,144.694,,,,
2021-06-20,3447.590,133.495,,,,
2021-08-23,3556.030,145.000,,,,
2021-10-26,4444.250,169.382,,,,
2021-11-11,4518.040,175.458,,,,
2021-11-27,4509.210,175.339,,,,
2021-11-23,4521.580,176.289,,,,
2021-12-05,4488.070,175.427,,,,
2021-12-21,4425.050,175.227,,,,
2021-12-29,4388.560,173.969,,,,
2022-01-30,4212.600,169.429,,,,
2022-02-23,4119.060,168.450,,,,
2022-03-19,3963.940,162.913,,,,
2022-04-12,3805.610,145.705,,,,
2022-05-16,3572.200,152.571,,,,
2022-07-17,3771.480,149.225,,,,
2022-07-25,4004.320,165.065,,,,
2022-10-29,6861.200,211.219,,,,
2022-11-06,6850.120,212.581,,,,
2022-11-30,6797.070,210.630,,,,
2022-12-08,6728.830,217.447,,,,
2022-12-16,6575.950,214.104,,,,
2022-12-24,6444.110,193.938,,,,
2023-02-02,5859.820,201.704,,,,
2023-02-26,5524.390,197.263,,,,
2023-03-06,5376.280,186.760,,,,
2023-03-30,5005.400,188.885,,,,
2023-04-15,4742.360,164.892,,,,
2023-06-02,3978.440,166.089,,,,
